company,description,location,review,salary,star,title
"Capital Markets Global Services, LLP",Experience in machine learning and time series analysis a plus. Are you constantly learning new things?*. You will have exposure to large data sets (think data...,"New York, NY",,175000.0,,"Quant Developers (PhD, C++, Python, or Matlab)"
QueueHop Inc.,"Familiar with CV and DL fundamentals like feature extraction, convolutional neural network, supervised machine learning, deep feature etc....","New York, NY 10005 (Financial District area)",,80000.0,,Founding Employee -- Computer Vision Algorithm/Architecture Engineer
Oliver James Associates,"Advanced in-depth specialization in mathematical analysis methods, predictive modeling, statistical analyses, machine learning, and big data technologies such...","New York, NY",2.0,160000.0,39.0,Principal Data Scientist
MatchPointe Group,"Strong foundation in Machine Learning, Mathematics, Statistics, with demonstrated experience,. Principal Deep Learning Engineer*_....","Santa Clara, CA",,155000.0,,Principal Deep Learning Engineer
University of Kentucky,"Strong experience in applying Machine Learning, Statistical Analysis to complex research problems. N/A....","Lexington, KY",262.0,50000.0,52.2,Postdoctoral Scholar
"Zenith Systems, Inc.","Business Domain Knowledge- Next Generation Services works on solution spaces in a broad set of business domains such as work place/employee hire to retire,...","Cincinnati, OH 45209 (Oakley area)",,115000.0,,DevOps Manager
"Eynon Software, LLC","C#, MSSQL, Android, iOS, Machine Learning, GIT, HTML, CSS, JS, jQuery. Eynon Software, LLC is a community oriented software development startup....","Canton, OH 44707",,40000.0,,Backend PHP Web Developer
Integrity Technical Services,"Must have experience image/signal processing, computer vision and/or machine learning a plus. Software Developer - Stow, OH - JOB 17-00330....","Akron, OH 44311 (Downtown area)",,70000.0,,Software Developer
SourceTek,The ideal candidate will have a strong background in Machine Learning and Artificial Intelligence and be able to clearly present abstract concepts in an easy to...,"Pittsburgh, PA 15212",2.0,90000.0,51.0,Pre-Sales support Engineer
MACP Los Angeles,"Extensive understanding of computer vision, machine learning, and pattern recognition problems. Publications in major computer vision and machine learning...","Los Angeles, CA",,185000.0,,Computer Vision Data Scientist
Edge Data,"Co-developing machine learning and AI solutions. (Python 2.7 = > 3.6), C & C ++, minimum 4+ years of solid hands-on development expertise using Python and...","Los Angeles, CA",,150000.0,,"Lead Software Architect (Python) $150,000 +"
"INE, Inc","Experience Machine Learning and/or AI. Along with traditional classroom learning, INE offers a highly successful and fulfilling virtual learning environment,...","Research Triangle Park, NC",,75000.0,,PHP Programmer / Developer
Piper Companies,Apply today if you are interested in joining an environment where you could work with machine learning algorithms and where engineering talent is seen as an...,"Raleigh, NC 27617 (Central area)",,105000.0,,C# Web Application Developer
City of Chicago,"Training or experience in data science concepts, such as machine learning. PRINCIPAL OPERATIONS ANALYST....","Chicago, IL",286.0,68100.0,51.6,PRINCIPAL OPERATIONS ANALYST
Workloud,(Preferred) Passion/interest in mobile Machine Learning and BI. Develop great workforce management software that people love using!...,"Madison, WI",,35000.0,,Master of Mobile Apps at Workloud
Jobspring Partners,A thriving analytics startup owned by a well-funded by their financial enterprise company is hiring a Data Scientist with hands-on Machine Learning experience...,"Chicago, IL",15.0,110000.0,39.0,Data Scientist
"Quintrix Solutions, Inc","ESSENTIAL DUTIES AND RESPONSIBILITIES OF THE DATA SCIENTIST:. The starting salary for the Data Scientist position is $135,000....","Tristates, NY",,135000.0,,"Data Scientist (Statistical Modeling, Big Data, ETL)"
3GIMBALS,"Python, Machine Learning, Data Analysis, Git. Help glean geospatial intelligence from satellite imagery and social media content using machine learning....","Washington, DC",,100000.0,,Data Scientist
Strategic Data Systems,"You will support network engineering for the Carderock Division of the Naval Surface Warfare Center involving 3,200 scientists, engineers and technical...","Bethesda, MD 20817",16.0,130000.0,43.8,Senior Software Engineer
All-In Analytics,"Experience in complex data cleansing, data validation and master data management. We are looking for a talented Data Scientist to join our growing team!...","Seattle, WA",,212500.0,,Senior Data Scientist
King County,Inspect field sites with UW soil scientist advisor who prescribes site-specific rates for each site; Ability to understand and interpret technical or scientific...,"Seattle, WA",45.0,100370.5,51.0,Wastewater Capital Project Manager III (Biosolids Program)
Jobspring Partners,"Experience with large Data Sets. This company, which has locations both in downtown Chicago and in Naperville, is looking for a Data Engineer with at least four...","Chicago, IL",15.0,110000.0,39.0,Data Engineer
Workbridge Associates,A well-funded healthcare startup in the loop is looking to hire a Mid-Level Data Engineer to join their team....,"Chicago, IL",30.0,125000.0,41.4,Mid-Level Data Engineer
Mondelez International,"With assigned engineer, develops and evaluates proposals for method improvements. Applicants must have a demonstrated understanding of maintenance concepts for...","Chicago, IL 60601 (Loop area)",1526.0,250000.0,51.0,Maintenance 2nd Shift Supervisor
Kirkland & Ellis,JOB TITLE - Senior Application Engineer. The Senior Applications Engineer is responsible for coordinating and implementing new components and upgrades to...,"Chicago, IL 60654 (Loop area)",,110000.0,,Senior Application Engineer
Workbridge Associates,"An early stage, funded startup within the fraud analytics and prevention space is looking to build out their analytics team by adding an engineer with big data...","Chicago, IL",30.0,107500.0,41.4,Data Engineer/Scientist
"iCentris, Inc.",At iCentris we’re looking for talented senior software data integration engineers who put the customer first. Loading Data – (formatted file)....,"Woods Cross, UT 84087",,100000.0,,Senior Data Integrations Engineer
Salt Lake County,"Provides training and mentor junior engineers when required. Works with other engineers in planning, prioritizing and executing assigned tasks within deadlines....","Salt Lake City, UT",30.0,80900.0,43.8,Software Developer - Mainframe
Prime Government Solutions,Troubleshoot performance issues with bi-lingual data being compiled into single PDF files. Our Software Engineers work within a collaborative team of...,"Orem, UT",,80000.0,,Software Engineer
"Tope Technology, LLC","Software Engineer – ICBM*. Software Engineer to contribute to the Air Force Intercontinental Ballistic Missile (ICBM) program at Hill AFB, UT in a full-time...","Hill AFB, UT 84056",,122000.0,,Sr. Software Engineer – ICBM
Ameritech College,The Senior Systems Engineer (SSE) is responsible for the systems implementation and management of IS/IT systems in support of day to day IS/IT operations at a...,"Draper, UT 84020",14.0,87000.0,42.6,Senior Systems Engineer
systemsHNM Systems,"Implement and Leverage reporting & data to quantify DevOps performance & efficiency. Software Engineer will implement, maintain, and document enterprise...","South Jordan, UT 84095",,85000.0,,Sr. Software Engineer
"Fabmatics, Inc","German Speaking (bonus) – will work with fellow engineers based in Germany. Once a preliminary model is set, responsibility for presenting it to a project...","Sandy, UT 84070",,75000.0,,Mechanical Design Engineer remote based in Florida
SeekPro,"As a Software Engineer, you will create flat patterns and laser projection data to support manufacturing of complex composite structures....","Salt Lake City, UT",,80000.0,,CAD SW Engineer
Simplii,Be able to pass a background check for Data Center access. Simplii is a hosted VoIP phone service provider that is looking for a qualified field engineer....,"Sandy, UT",,42500.0,,Field Service Technical Engineer
Dash2 Group,"Mastery of data types, algorithms, object oriented programming. We are building out a team of Software Developers (Mid-level - Senior/Principal) who will be a...","Lehi, UT",,100000.0,,Mid-Level/Senior Software Engineers
Department of the Air Force,"As an Electronics Engineer, NH-0855-03, you will serve as a senior professional electronics engineer with project management, execution, and operational...","Hill AFB, UT",14726.0,91864.0,54.0,ELECTRONICS ENGINEER
BYU Broadcasting,Media IT Engineer on system performance and make recommendations for improvements to existing systems or new systems....,"Provo, UT 84602",5.0,67000.0,52.2,IT Media Engineer
Sentient Lasers,Laser Service Engineer. Detailed record keeping for repairs and test data. The Laser Service Engineer provides service support through the performance of...,"Kamas, UT 84036",,50000.0,,Lasers Service Engineer
Remedy Intelligent Staffing,MANUFACTURING COMPOSITES ENGINEER. Are you an experienced Composites Engineer. Compile and evaluate tests and production data for continuous improvement or...,"Salt Lake City, UT 84101 (People's Freeway area)",898.0,72500.0,43.2,Composites Engineer
ClearView Audit,Working with various data transfer protocols. Coding back end functions that manipulate data. Building and/or consuming REST APIs- Creating and parsing data in...,"Madison, WI",,90000.0,,Backend Nodejs JavaScript Developer
Workbridge Associates,"You will be working on implementing a new data lake, building data pipelines and processes and helping scale out their platform....","Lake Forest, IL",30.0,130000.0,41.4,Big Data Engineer
RF Technologies,Experience with macro quality data analysis. The Quality Engineer champions product quality and continuous improvement....,"Brookfield, WI 53005",12.0,80000.0,40.8,Quality Engineer
UW Extension,Society of Broadcast Engineers certification. Collaborates with digital/online leadership to support audio and data distribution via the Internet....,"Madison, WI",4.0,67500.0,60.0,DIRECTOR RADIO CORE ENGINEERING & TECHNOLOGY
Mavenworkforce LLC.,"Familiarity or proficiency with sap for product data management and/or enterprise resource planning. Contributing member of a new product development team,...","Milwaukee, WI",,65000.0,,Hardware Engineer
Sunset Condominiums at Northern Bay,"Attorneys, CPAs, engineers). Review financial statements, sales and activity reports, and other performance data to measure productivity and goal achievement...","Adams, WI",,42500.0,,General Manager / Property Manager
Rexnord,"The engineer could be responsible for large projects. A very high level of evaluation, originality or ingenuity is required and the engineer will have...","Milwaukee, WI",171.0,89000.0,42.0,Sr. Manufacturing Engineer
good culture,"Collect and compile statistical quality data. Certifications an advantage including Quality Auditor, Quality Engineer, Continuous Improvement, GMP’s, HACCP, SQF...","Westby, WI",,45000.0,,QA/R&D Specialist
"RSP, Inc","Job duties include coordinating the flow of information, detailing requirements, communicating with customers, verifying data, and laying out graphics and...","Milwaukee, WI",,28500.0,,Graphic Arts & Design Coordinator
MRA Member Career Opportunities,"Troubleshoots, repairs, maintains, installs and performs testing activities on various computer equipment, peripherals, and data communication and computer...","Elm Grove, WI",,50000.0,,IT Engineer - 1st or 3rd shift
Ceannate Corp,"Avamar and Data Domain backup and recovery technology administration. The Senior Network Engineer is responsible for advancing the company by planning,...","Schaumburg, IL",11.0,85000.0,30.0,Senior Network Engineer
Rexnord,"Help transform a portfolio of mechanical engineering products into a connected product portfolio by adding sensors, connectivity, and specifying analytics •...","Milwaukee, WI",171.0,73000.0,42.0,Electro-Mechanical Manufacturing Engineer
Lake County IL,"The Civil Engineer must have good communication skills, knowledge of organizing project documentation, the ability to review pay estimates, inspection of...","Libertyville, IL",2.0,60314.0,60.0,Civil Engineer - Public Works
Key Corporate Services,KCS – Process Engineer*. Our client is looking for a Process Engineer to join their team. The Process Engineer will also recommend and supervise implementation...,"Milwaukee, WI",3.0,70000.0,55.2,Process Engineer
Tetra Pak,"As an Automation Engineer Trainee, you will develop and learn to:. At least classroom experience in Data Integration and Database Architecture (SQL) is...","Vernon Hills, IL",188.0,55000.0,52.8,Automation Engineer Trainee
Village of Schaumburg,All duties performed by Senior Civil Engineers. Licensed Professional Engineer by the State of Illinois. Supervises the daily operation of the Engineering...,"Schaumburg, IL",6.0,117851.0,52.8,Engineering Division Manager (Engineering & Public Works)
Argus Technical Services,Prepares 3D models and detailed engineer drawings in SolidWorks of complicated components and assemblies....,"Milwaukee, WI",,55000.0,,Mechanical Engineer
Onward Technologies Inc.,"Development of product data. The Manufacturing Industrial Engineer is responsible for estimating, validating, analyzing, and improving manufacturing costs and...","Milwaukee, WI",48.0,65000.0,42.0,Manufacturing Industrial Engineer
GRN Fort Smith," Support and efficiently navigate ERP and CRM databases and data entry. Provide industry leading technical, applications and sales support to the company's...","Madison, WI",,72500.0,,Technical Support Engineer
County of Milwaukee,"Partners with user agencies to make government process more efficient through data processing re-engineering, data workflow automation, data integration, and...","Milwaukee, WI",,95265.5,,Database Administator-Information Technology
Specialty Tapes,"Update the Regional and National Sales Manager with project requests, sales data and other customer data....","Franksville, WI",,50000.0,,US Territory Reps
Advanced Hires,"Embedded Software, DevOps, Scripting, Artifactory, Jenkins, Engineers, Continuous Integration, Puppet, Git, Continuous Delivery, Data Center....","Milwaukee, WI",,120000.0,,DevOps Engineer
Symmetry LLC,Symmetry supports global customers through 24x7 operations support model and its extensive worldwide data center network....,"Brookfield, WI 53005",,90000.0,,AIX Power Systems Engineer
Department of Transportation,Register by completing the online Personal Data Form. Assist with the activities of technical crews on assigned projects as an engineer in training....,"Montgomery County, KS",604.0,46000.0,52.2,Engineering Associate I
Michael Page US,"Preferred 1st Class Stationary Engineer license and proven safety record. Facilitate and manage industrial networks -EtherNet/IP, Device Net, or Data Highway....","Tulsa, OK",145.0,59250.0,41.4,"Refrigeration Technician (2nd, 3rd shift)"
CITY OF STURGIS,"Direct related data development projects; Import and export data from DBFs; Provide expertise to City staff, engineers, planners, consultant and developers;...","Sturgis, MI 49091",,60000.0,,GIS Manager
LHP Engineering Solutions,LHP Engineering Solutions is currently looking for a Senior Product Engineer on the west side of the state. Specifically working with all divisions of company...,"Grand Rapids, MI",,82500.0,,Sr. Mechanical Design Product Engineer
"Synergy Engineering Consultants, INC",The Facility Performance Systems Engineer (FPSE / CxA) typically serves as the primary day to day engineer executing tasks on a project....,"Belmont, MI",,75000.0,,Facility Performance Systems Engineer (CxA) – Class 6
Brillcast Manufacturing,Set-up data collection parameters for CMM measurements. Assist engineers with qualification and validation of new or changed tooling or parts....,"Wyoming, MI 49519",,57500.0,,CMM Programmer
Emaculate Solutions,"Test Data Strategy:. Execute testing data management plan activities. The Test Automation Engineer is responsible for the creation, maintenance and execution of...","Dimondale, MI",,70000.0,,Test Automation Engineer
Lake Michigan College,Manages collection of data for reporting requirements related to pond. Under the limited supervision of the Executive Director of Facilities Management and in...,"Benton Harbor, MI",20.0,42019.0,53.4,Facilities Operations Manager
IMPERIAL DESIGN,Seeking a Senior Mechanical Engineer for our Grand Rapids operations. Developing innovative mechanical design concepts resulting in a new or an improved product...,"Grand Rapids, MI",,100000.0,,Senior Mechanical Designer
"Hi-Lex Controls, Inc.",Assimilates electronic data for management reports. Teaches junior level Customer Quality Engineers customer specific requirements....,"Litchfield, MI 49252",,60000.0,,Sr. Customer Quality Engineer
Hunter International,The Field Service Engineer*. Must be fully computer literate with experience in Windows and data acquisition and diagnostics software....,"Grand Rapids, MI",14.0,70000.0,54.0,Field Service Engineer
"Hydro-Chem Systems, INC",Automated Sales Engineer will maintain required customer contact data; AUTOMATED SALES ENGINEER -*. Automated Sales Engineer will routinely travel within...,"Grand Rapids, MI 49548",,52000.0,,Automated Sales Engineer - Western US
Staffing Inc.,"Mechanical Design Engineer- Level II. Customer request/feedback, sales/sales engineers, manufacturing personnel or Fogg service team....","Holland, MI",27.0,65000.0,51.0,Mechanical Design Engineer
International Search Partners,Must be proficient at data analysis and related tools such as Excel or CRM software. Use data available from ERP system to develop and analyze customer sales...,"Lansing, MI",,82500.0,,Sales Engineer
Philips Recruiting Services,Controls Engineer Responsibilities:. Controls Engineer (Off Shift) Summary:. Troubleshoot PLC ladder logic and data handling functions in Control Logix...,"Lansing, MI",,75000.0,,Controls Engineer
Department of the Army,"Interprets Material Safety Data Sheets (MSDSs) for employees, shop supervisors, and OHN. Reviews plans for new and existing construction and renovation projects...","Lansing, MI",43067.0,57231.0,53.4,INDUSTRIAL HYGIENE TECHNICIAN
Recruitment Management Consultants (RMC),The Web Administration Director oversees a team of Web Engineers that are responsible for operational support of the web server infrastructure in order to...,"Okemos, MI 48864",,147500.0,,Web Administration Director
Mississippi State Personnel Board,Supervises the collection of data and conducts. Possession of an enrollment as an Engineer Intern. Applicant must attach a copy of his/her enrollment as an...,"Hinds County, MS",7.0,39943.0,32.4,DOT-Engineer in Training
State of Mississippi,Supervises the collection of data and conducts. Possession of an enrollment as an Engineer Intern. Applicant must attach a copy of his/her enrollment as an...,"Hinds County, MS",41.0,39943.0,42.0,DOT-Engineer in Training
Department of the Army,"Army Corps of Engineers. Army Corps of Engineers is an innovative, transformative organization providing engineering solutions to customers worldwide....","Vicksburg, MS",43067.0,102028.0,53.4,IT Specialist (INFOSEC)
Department of the Army,"Army Corps of Engineers. SKILL IN OBTAINING AND ANALYZING DATA. Army Corps of Engineers is an innovative, transformative organization providing engineering...","Vicksburg, MS",43067.0,69240.0,53.4,Auditor
Department of the Army,Army Corps of Engineers. Army Corps of Engineers is one of the best! Our goal is to be the Engineer of Choice for the 21....,"Vicksburg, MS",43067.0,37773.0,53.4,Office Support Assistant (OA)
RGBSI,Ability to interpret financial and performance data. \*\*Must Be A US Citizen or Green Card Holder\*\**....,"Jackson, MS",31.0,110000.0,43.8,Engineer Manager
Mississippi State Personnel Board,"Prepares and issues testing engineer letter of materials and tests, and provides recommendations and advice to testing, district and project engineers, and...","Hinds County, MS",7.0,36619.0,32.4,DOT-Engineering Technician VII
State of Mississippi,"Prepares and issues testing engineer letter of materials and tests, and provides recommendations and advice to testing, district and project engineers, and...","Hinds County, MS",41.0,36619.0,42.0,DOT-Engineering Technician VII
Human Resources Professional Search,"Maintains complete security and confidentiality of all company data, records and customer data and relationships....","Greenville, MS",,60000.0,,Lean Manufacturing Engineer
3coast,Prepare programs for computer control systems and prepare/coordinate operational information and data for the plant management....,"Meridian, MS",,75000.0,,Automation Supervisor - PLCs
Federal Aviation Administration,"Processes FAA-issued airman certificates such as FAA designated representative, mechanics, repairmen, flight engineers, and pilots....","Orlando, FL",604.0,40684.0,52.2,Aviation Safety Assistant (Office Automation)
"City of Fort Myers, FL","Assist in fled engineering and evaluating field survey data. Meet with applicants, consultants, engineers and the public to address engineering issues related...","Fort Myers, FL",,61038.0,,Project Engineer
Orlando Utilities Commission,Registered as a Professional Engineer. OUC EMS and Supervisory Control and Data Acquisition (SCADA) system; We are seeking an individual for a Regular position...,"Orlando, FL",19.0,104833.5,44.4,Sr Engineer Transmission Planning
The State of Florida,PROJECT MANAGEMENT ENGINEER II - 55003709. Skill in reviewing and interpreting technical data. Assists unit manager and District Consultant Project Management...,"Bartow, FL 33830",17.0,70968.5,27.0,PROJECT MANAGEMENT ENGINEER II
DirectiveGroup | LocalDirective | GlobalDirective,"Strong data analysis skill set with a keen attention to detail. Participate as sale engineer in complex sales opportunities to demonstrate company knowledge,...","Tampa Bay, FL",,61250.0,,Search Engine Optimization (SEO) Technical Specialist [Virtual/Remote]
"Hillsborough County, FL",Operates surveying instruments and devices to collect data for survey projects. Acquires aerial photography and mapping services for use by engineers and...,"Tampa, FL",11.0,36311.0,40.8,Engineering Technician III (Surveying)
MDC Vacuum Products,"Collaborates with engineers, production personnel, programmers, or others to resolve machining problems. Ensures machinery, tools, and equipment are in good...","Sarasota, FL",2.0,52000.0,54.0,CNC Programmer Needed ASAP!
"Veterans Affairs, Veterans Health Administration","General Engineer, PD # 3995. The General Engineer duties include, but are not limited to:. Assists consulting architects and engineers with design of...","Cheyenne, WY",2817.0,69240.0,51.0,General Engineer
Real Estate Entrepreneur Group,"Assist with sales/pitch presentations by preparing key data points, findings, and relevant research. The testimony to our group’s dedication is that we have...","Aurora, CO",,95000.0,,REi Sales Representative
Kahn Construction Corporation,Responsible for proactive administration of reviewing and processing all submittal data and shop drawings to ensure project schedules are expedited and...,"Englewood, CO 80112",,60000.0,,Construction Project Coordinator
University of Colorado,"Well with a diverse team of engineers. Data network by designing and programming network management tools, monitoring....","Boulder, CO",520.0,65000.0,52.2,Juniper/Aruba Network Engineer
University of Colorado,"Assists Energy Engineer. Data acquisition of facility record drawings, maintenance records, technical. Specifications, and integrate the base data into the...","Denver, CO",520.0,69120.0,52.2,Engineering Specialist
Corkat Data Solutions,Junior Systems Engineer. Engineer will be responsible for day to day management of Network Operation Center systems....,"Loveland, CO",,45000.0,,Junior Systems Engineer
City of Brighton,"Water Resources Engineer SALARY:. Collects and maintains data related to raw water yield, flows, and projections....","Brighton, CO",10.0,86122.5,44.4,Water Resources Engineer
Innovative IT Solutions Inc,"Acts to ensure integrity of corporate data, proprietary information and related intellectual property through information security and access management....","Golden, CO",,100000.0,,Cebos Software Engineer
QEH2 Business Intelligence,"Basic data backup hardware and software. As a Systems Administrator-Field Engineer, you will, in association with other members of your team, maintain and...","Denver, CO",,57500.0,,Systems Administrator Field Engineer
G&A Partners,"Compile, analyze, and interpret statistical data related to occupational illnesses and accidents. Interpret safety regulations for others interested in...","Denver, CO",11.0,60000.0,51.0,Construction Safety Manager
Virsage Solutions,"Daily issues will require resolving IT needs ranging from desktop support to server and infrastructure management, application troubleshooting, data backups and...","Lafayette, CO 80026",,50000.0,,Technical Support Specialist
Oregon Health & Science University,Minimum of 3 years Data warehouse data structure design and development experience on both Oracle and SQL Server platforms....,"Portland, OR",271.0,102319.5,51.6,"Data Warehouse Developer (Application Engineer, Sr)"
NW Natural,Analyzes data (i.e. Assists in the interpretation of assessment data. Ability to register as a Professional Engineer (PE) is highly desired....,"Portland, OR 97209 (Pearl District area)",6.0,66525.0,52.8,Integrity Management Engineering 1 or 2
"City of Gresham, OR","As a Structural Engineer, you will enjoy a standardized schedule Monday through Friday. You will also be responsible for conducting engineering studies,...","Gresham, OR",,84312.0,,Structural Engineer
State of Oregon,Senior Transportation Facilities Engineer. Minimum Qualifications – Professional Engineer 1. Manage professional consultants and consulting engineers through...,"Salem, OR",165.0,62310.0,43.8,Senior Transportation Facilities Engineer (ODOT17-0808oc(A))
Benton County Oregon,"Inspection and Data Collection. Benton County, Oregon looking for a Civil Engineer. Operates land surveying instruments and perform technical work to gather...","Corvallis, OR",,43336.5,,Engineering & Survey Technician 2
"Washington County, OR",Oversees crews gathering data on existing and proposed transportation-related features. Performs field data collection functions related to construction and...,"Hillsboro, OR",,67776.5,,Engineering Technician III
Oregon Health & Science University,"Experience with Data Center Virtualization and/or Application Virtualization. The primary work for this position is to analyze, engineer and implement systems...","Portland, OR",271.0,130589.0,51.6,Application Delivery Analyst/Engineer (Systems Analyst/Engineer)
"City of Gresham, OR","Civil Engineer I - $5,515 - $7,170 /month. Professional Engineering (PE) License (Civil Engineer II). Please note, the Civil Engineer I & II classifications...","Gresham, OR",,80736.0,,Civil Engineer I or II - Transportation
Macropace Technologies,Platform Validation Engineer. Working with other validation engineers to perform system validation testing of silicon features relate to Memory Controller area....,"Hillsboro, OR",,90000.0,,"Platform Validation Engineer - Hillsboro, OR"
"SSI Shredding Systems, Inc.","Confers with engineers, production personnel, programmers, or others to resolve machining problems. Sets up and operates machine on trial run to verify accuracy...","Wilsonville, OR 97070",,60000.0,,CNC Lathe Machinist - Swing Shift
Graphic Products,Knowledge of software design patterns and data structures. You will join a team of experienced engineers and researchers in building the next great innovations...,"Beaverton, OR 97008 (Greenway area)",16.0,62500.0,18.6,Software Engineer
"SSI Shredding Systems, Inc.","Confers with engineers, production personnel, programmers, or others to resolve machining problems. Sets up and operates machine on trial run to verify accuracy...","Wilsonville, OR 97070",,57500.0,,CNC Machinist - SWING SHIFT LEAD POSITION
Macropace Technologies,Power Measurement Validation Engineer. Power Lab Engineer to support DEG power data collection needs primarily focused on testing for 2017 platforms....,"Hillsboro, OR",,65000.0,,"Power Measurement Validation Engineer - Hillsboro, OR"
Triad Technology Group,"Coordinate efforts with Organization’s compliance organization and company engineers. Fulfill accurate and timely data exchange to internal workgroups, the...","Portland, OR 97223",,96000.0,,Transmission Planning Engineer
ITS,Interface with engineers and designers. Providing data to verify design content and for drawing generation/completion....,"Hillsboro, OR",,47000.0,,Mechanical Designer
Macropace Technologies,"Co-ordinate with Automation developers and Debug engineers on daily basis. Experience in reading schematics, Data sheets, BOM / part locations on a motherboard,...","Hillsboro, OR",,54000.0,,"Sr. Validation Technician - Hillsboro, OR"
PQ Talent,"Assure reliability, accuracy, and relevancy of data in the Opportunity Management Systems (OMS). The primary function of the Outside Technical Sales is increase...","Portland, OR",,90000.0,,Sales Engineer
Department of the Army,Army Corps of Engineers is one of the best! One year of specialized experience which includes Applying basic engineering standards related to surveying by...,"Tuscaloosa, AL",43067.0,52690.5,53.4,Engineering Technician (Civil)
Department of the Army,"412 Engineer Command, Headquarters Support Company, 926 Engineer Battalion, 926 Engineer Brigade in Birmingham, Alabama....","Birmingham, AL",43067.0,46788.5,53.4,USAR Unit Administrator
Royal Oak,"Certified Quality Engineer, Green Belt, Black Belt preferred *PREFERRED EXPERIENCE/QUALIFICATIONS:. Minimum 3 years experience as a Quality Engineer working in...","Birmingham, AL 35224",49.0,57500.0,51.0,QA Engineer
City of Tuscaloosa,"Coordinates with engineers regarding highway, drainage and airport projects; Requires the ability to visually inspect items for proper length, width, and shape...","Tuscaloosa, AL",10.0,91614.5,44.4,"Associate Director, Infrastructure - Transportation"
ITAC Solutions,The Engineer will be responsible for the following:. Report on testing activities for data marts related to reports for users and executives....,"Birmingham, AL",15.0,75000.0,52.8,Software Information Test Engineer (ETL experience required)
Precision Resources,"Implement and maintain Cisco Nexus data center products and Cisco Catalyst campus environment products. Precision Resources, a division of the Trimarc Group Inc...","Birmingham, AL",9.0,95000.0,52.8,Network Analyst
QPS Engineering,Will oversee 2 E/I Engineers and 5 E/I Technicians and some hourly. Utilizes and inputs work order and reporting data into the Computerized Maintenance...,"Decatur, AL",,95000.0,,Maintenance Supervisor
"Quintrix Solutions, Inc","Software Engineer - Data Products (Php/Java/Lucene/Solr) - New York, NY*. Large data (millions of records):. Responsibilities of the Software Engineer (PHP/Java...","Tristates, NY",,120000.0,,Software Engineer - Data Products (Php/Java/Lucene/Solr)
Jobspring Partners,Optimization engineer experience. An innovative energy solutions company is looking to add a Data Scientist/Optimization Engineer to their growing product team....,"Philadelphia, PA",15.0,112500.0,39.0,Data Scientist/Optimization Engineer
Jobspring Partners,This Boston software company is looking to add a Data Engineer to their team to help create a big data platform capable of processing complex NLP data....,"Boston, MA 02116 (South End area)",15.0,135000.0,39.0,Junior Data Engineer
FPC of Rehoboth,"Supplier Quality Engineer*. The Supplier Quality Engineer takes care of all supplier data including all elements of supplier surveillance, maintains the...","Boston, MA",,87500.0,,Supplier Quality Engineer
Semafone,Semafone assists large enterprises in addressing the dual challenges of PCI DSS (Payment Cards Industry Data Security Standards) compliance and removing...,"Boston, MA",,75000.0,,Technical Customer Relationship Manager
SFL Scientific,"Experience in data science, analytics, or big data solutions [Hadoop, Spark, etc.]. Is a US-based data science consulting and services company, providing a...","Boston, MA",,110000.0,,"Software Engineer - C++, C#"
WinterWyman,"Fullstack RoR Engineers (5 openings). I would be grateful to get a chance to help you, even if just to offer advice or market data....","Boston, MA 02111 (Central area)",17.0,140000.0,42.6,RoR Engineers
Medical University of South Carolina,"The Report Writer and Data Analyst reports to the Special Projects Engineer. Under limited supervision, the Data Analyst is responsible for data administration,...","Charleston, SC",235.0,61018.0,51.0,DATA ANALYST/REPORT WRITER
Department of the Army,"Army Corps of Engineers. Basic Requirement for Environmental Engineer. Professional registration or licensure - Current registration as an Engineer Intern (EI),...","Savannah, GA",43067.0,67249.5,53.4,ENVIRONMENTAL ENGINEER
Sigmatex Carbon Textile Solutions Inc.,"The Process Engineer will provide direction and oversight to related suppliers. As required, maintain records in an orderly fashion and analyze production and...","Cameron, SC 29030",,55000.0,,Process Engineer Textiles
A. SiFi,Acquire and analyze data using appropriate standard quantitative methods across a spectrum of business environments to facilitate process analysis and...,"Charleston, SC",,70000.0,,Quality Engineer
Medical University of South Carolina,"This position has responsibility for periodic regular property inspections, contracting and procurement actions, customer relations, documentation, developing...","Charleston, SC",235.0,48679.5,51.0,Assistant Property Manager
"Bihl Engineering, LLC",Registered Professional Engineer (PE) with a background in Traffic and Transportation (Staff Engineer only)....,"Charleston, SC",,70000.0,,Staff Engineer / Staff Engineer-in-Training
Spinvi,"And migrating user data, department data, printers, print queues, DHCP scopes, and other enterprise managed services....","Charleston, SC",,100000.0,,Systems Engineer
TRS Staffing Solutions,Prior experience with custom-engineered products and as a Design Engineer. TRS is seeking an experienced Project Engineer for a state-of-the-art manufacturing...,"Mount Pleasant, SC",5.0,75000.0,51.0,Project Engineer
City of Orangeburg,"Registration as a Professional Engineer, preferred. Maintains regular contact with consulting engineers, construction project engineers, City, County, State and...","Orangeburg, SC",,85500.0,,Public Works Director
ACI Federal,"Assists information engineers on application of SPCialized knowledge to coding, testing, implementation and documentation projects....","Parris Island, SC",,63000.0,,IT Specialist II
Town of Mount Pleasant Municipal Complex,Supervises the Project Engineer and Roadway Inspectors. A Professional Engineering or Professional Traffic Operations Engineer license is required and a Masters...,"Mount Pleasant, SC",,66466.0,,Deputy Transportation Director
Medical University of South Carolina,Network Engineers are expected to make technical recommendations based on organizational needs and requirements and mentor other less-experienced engineers....,"Charleston, SC",235.0,78629.0,51.0,Senior Network Engineer
